,count,mean,std,min,25%,50%,75%,max
ast,3534.0,23.04,5.45,9.0,19.0,23.0,26.0,40.0
alt,3534.0,20.8,8.47,5.0,15.0,19.0,25.0,70.0
bmi,3534.0,23.87,6.48,3.0,19.42,22.9,28.0,44.7
gamma_gtp,3534.0,25.68,21.76,5.0,14.0,19.0,30.0,339.0
ldl,3534.0,107.77,23.87,29.0,92.0,108.0,124.0,180.0
crtn,3534.0,0.87,0.18,0.4,0.7,0.9,1.0,1.2
fbs,3534.0,97.17,10.34,59.0,90.0,96.0,103.75,125.0
hgb,3534.0,14.31,1.34,8.6,13.3,14.4,15.3,18.6
tc,3534.0,181.29,26.28,84.0,164.0,183.0,198.0,252.0
vcr,3534.0,0.01,0.06,0.0,0.0,0.0,0.0,1.0
vcl,3534.0,0.01,0.12,0.0,0.0,0.0,0.0,2.0
height,3534.0,164.59,7.71,139.0,159.0,165.0,170.0,189.0
weight,3534.0,61.31,8.55,36.2,54.9,61.4,67.7,92.2
wc,3534.0,79.73,5.96,56.0,76.0,80.0,84.0,97.0
sbp,3534.0,119.3,12.83,80.0,110.0,119.0,128.0,177.0
dbp,3534.0,73.24,8.86,46.0,67.0,73.0,80.0,99.0
egfr,3534.0,87.87,12.51,54.0,78.0,87.0,98.0,121.0
