,count,mean,std,min,25%,50%,75%,max
ast,4139.0,19.1,4.39,7.0,16.0,18.0,22.0,39.0
alt,4139.0,15.96,6.53,5.0,12.0,15.0,19.0,137.0
bmi,4139.0,29.94,5.18,14.8,26.1,29.8,33.6,51.5
gamma_gtp,4139.0,15.95,8.99,2.0,10.0,13.0,19.0,185.0
ldl,4139.0,142.09,23.84,51.0,125.0,139.0,155.0,376.0
crtn,4139.0,0.73,0.14,0.3,0.6,0.7,0.8,1.2
fbs,4139.0,92.11,8.9,45.0,87.0,92.0,97.0,125.0
hgb,4139.0,13.52,1.03,10.0,12.8,13.4,14.1,17.7
tc,4139.0,226.7,23.61,192.0,209.0,221.0,238.0,458.0
vcr,4139.0,1.55,0.59,0.0,1.0,2.0,2.0,2.0
vcl,4139.0,1.63,0.51,0.2,1.0,2.0,2.0,2.0
height,4139.0,160.86,5.1,142.0,157.0,161.0,164.0,177.0
weight,4139.0,56.76,6.96,36.1,51.7,56.1,61.3,80.4
wc,4139.0,77.06,6.81,56.0,72.0,77.0,82.0,112.0
sbp,4139.0,111.66,10.95,82.0,104.0,111.0,119.0,167.0
dbp,4139.0,69.29,8.32,32.0,63.0,69.0,75.0,98.0
egfr,4139.0,101.28,14.23,60.0,90.0,103.0,112.0,150.0
